quarter,launches,period_start
2005Q1,1800,2005-01-01
2005Q2,2786,2005-04-01
2005Q3,1934,2005-07-01
2005Q4,1913,2005-10-01
2006Q1,1914,2006-01-01
2006Q2,2113,2006-04-01
2006Q3,2114,2006-07-01
2006Q4,1616,2006-10-01
2007Q1,1901,2007-01-01
2007Q2,2348,2007-04-01
2007Q3,2165,2007-07-01
2007Q4,1486,2007-10-01
2008Q1,1882,2008-01-01
2008Q2,2420,2008-04-01
2008Q3,2093,2008-07-01
2008Q4,1610,2008-10-01
2009Q1,2183,2009-01-01
2009Q2,2552,2009-04-01
2009Q3,2490,2009-07-01
2009Q4,1944,2009-10-01
2010Q1,2425,2010-01-01
2010Q2,2884,2010-04-01
2010Q3,3518,2010-07-01
2010Q4,2324,2010-10-01
2011Q1,2941,2011-01-01
2011Q2,3871,2011-04-01
2011Q3,3698,2011-07-01
2011Q4,2982,2011-10-01
2012Q1,3285,2012-01-01
2012Q2,4316,2012-04-01
2012Q3,3497,2012-07-01
2012Q4,3037,2012-10-01
2013Q1,3936,2013-01-01
2013Q2,5373,2013-04-01
2013Q3,4274,2013-07-01
2013Q4,4230,2013-10-01
2014Q1,4544,2014-01-01
2014Q2,4469,2014-04-01
2014Q3,4341,2014-07-01
2014Q4,3480,2014-10-01
